5, 1.0000
5, 1.0000
5, 1.0000
5, 0.7500
5, 1.0000
5, 1.0000
5, 0.6667
5, 0.7500
5, 1.0000
5, 0.8000
10, 0.8621
10, 0.9167
10, 0.9375
10, 0.9200
10, 0.8696
10, 0.9130
10, 0.9412
10, 0.8750
10, 0.9167
10, 0.9231
20, 0.9592
20, 0.9306
20, 0.9406
20, 0.9432
20, 0.8962
20, 0.9451
20, 0.9140
20, 0.9485
20, 0.9565
20, 0.9438
50, 0.9345
50, 0.9234
50, 0.9337
50, 0.9160
50, 0.9249
50, 0.9322
50, 0.9241
50, 0.8896
50, 0.8958
50, 0.9235
100, 0.9230
100, 0.9284
100, 0.9253
100, 0.9161
100, 0.9245
100, 0.9178
100, 0.9127
100, 0.9209
100, 0.9154
100, 0.9172
