5, 1.0000, 2
5, 1.0000, 2
5, 1.0000, 2
5, 0.8333, 2
5, 1.0000, 2
5, 1.0000, 2
5, 1.0000, 2
5, 1.0000, 2
5, 0.8000, 2
5, 1.0000, 2
10, 0.9167, 2
10, 0.9167, 2
10, 0.9231, 2
10, 0.8462, 2
10, 0.9167, 2
10, 1.0000, 2
10, 0.9231, 2
10, 0.9091, 2
10, 1.0000, 2
10, 0.7500, 2
15, 0.9130, 2
15, 0.9565, 2
15, 0.7917, 2
15, 0.8500, 2
15, 0.9167, 2
15, 0.8333, 2
15, 0.9091, 2
15, 0.9565, 2
15, 0.9130, 2
15, 0.9545, 2
20, 0.8810, 2
20, 0.9231, 2
20, 0.9189, 2
20, 0.9744, 2
20, 0.9231, 2
20, 0.9412, 2
20, 0.9032, 2
20, 0.9524, 2
20, 0.9706, 2
20, 0.9512, 2
50, 0.9375, 2
50, 0.9593, 2
50, 0.9127, 2
50, 0.9143, 2
50, 0.9618, 2
50, 0.9444, 2
50, 0.9032, 2
50, 0.9459, 2
50, 0.9197, 2
50, 0.9346, 2
