5, 1.0000, 2, 0.128
5, 0.9167, 2, 0.137
5, 1.0000, 2, 0.126
5, 0.9167, 2, 0.119
5, 0.6364, 2, 0.128
10, 0.7692, 2, 0.103
10, 0.9231, 2, 0.074
10, 0.7500, 2, 0.087
10, 0.9091, 2, 0.069
10, 0.8462, 2, 0.092
20, 1.0000, 2, 0.054
20, 0.9167, 2, 0.071
20, 0.7273, 2, 0.071
20, 1.0000, 2, 0.035
20, 1.0000, 2, 0.082
50, 0.8333, 2, 0.035
50, 0.8333, 2, 0.051
50, 1.0000, 2, 0.046
50, 0.9091, 2, 0.038
50, 1.0000, 2, 0.046
100, 1.0000, 2, 0.030
100, 1.0000, 2, 0.023
100, 0.9167, 2, 0.034
100, 1.0000, 2, 0.032
100, 1.0000, 2, 0.024
