4, 0.9310, 2, 0.071
4, 0.9032, 2, 0.094
4, 0.8438, 2, 0.108
4, 0.8966, 2, 0.089
4, 0.9655, 2, 0.098
7, 0.8889, 2, 0.119
7, 0.9474, 2, 0.091
7, 0.9608, 2, 0.079
7, 0.8833, 2, 0.122
7, 0.9302, 2, 0.104
10, 0.8596, 2, 0.080
10, 1.0000, 2, 0.077
10, 0.9315, 2, 0.103
10, 0.9865, 2, 0.092
10, 0.9560, 2, 0.102
13, 0.8367, 2, 0.081
13, 0.9474, 2, 0.087
13, 0.9744, 2, 0.082
13, 0.8451, 2, 0.108
13, 0.9302, 2, 0.099
16, 0.6944, 2, 0.147
16, 0.8022, 2, 0.108
16, 0.9324, 2, 0.084
16, 0.9348, 2, 0.097
16, 0.8732, 2, 0.090
19, 0.9762, 2, 0.097
19, 0.8987, 2, 0.114
19, 0.8430, 2, 0.131
19, 0.9661, 2, 0.100
19, 0.9419, 2, 0.101
