4, 0.9310, 2, 0.071
4, 0.9032, 3, 0.093
4, 0.8438, 2, 0.108
4, 0.8966, 5, 0.089
4, 0.9655, 2, 0.098
7, 0.8889, 2, 0.113
7, 0.9825, 3, 0.087
7, 0.9608, 3, 0.079
7, 0.8000, 2, 0.123
7, 0.9302, 2, 0.104
10, 0.7544, 3, 0.089
10, 1.0000, 2, 0.077
10, 0.9726, 2, 0.099
10, 0.9595, 4, 0.097
10, 0.8242, 3, 0.095
13, 0.8367, 2, 0.078
13, 0.9605, 4, 0.080
13, 0.9744, 3, 0.082
13, 0.8873, 2, 0.096
13, 0.9302, 2, 0.097
16, 0.9167, 3, 0.092
16, 0.8901, 2, 0.085
16, 0.9595, 2, 0.079
16, 0.9457, 2, 0.091
16, 0.8732, 5, 0.087
19, 0.9762, 3, 0.095
19, 0.8861, 2, 0.106
19, 0.9128, 3, 0.114
19, 0.9661, 3, 0.100
19, 0.9535, 5, 0.095
