5, 0.8000, 2, 0.166
5, 0.2000, 2, 0.398
5, 0.6000, 2, 0.317
5, 0.4000, 2, 0.331
5, 0.4000, 5, 0.060
10, 0.7273, 2, 0.274
10, 0.4545, 2, 0.383
10, 0.6667, 3, 0.248
10, 0.5455, 2, 0.418
10, 0.4167, 2, 0.346
15, 0.6364, 3, 0.259
15, 0.6800, 3, 0.254
15, 0.5714, 2, 0.153
15, 0.5217, 2, 0.252
15, 0.7000, 2, 0.226
20, 0.5714, 3, 0.282
20, 0.6286, 2, 0.163
20, 0.3902, 5, 0.290
20, 0.7143, 2, 0.200
20, 0.5641, 2, 0.204
50, 0.5280, 5, 0.276
50, 0.5733, 5, 0.246
50, 0.5468, 3, 0.284
50, 0.4184, 2, 0.303
50, 0.5329, 3, 0.250
