5, 1.0000, 2, 0.063
5, 1.0000, 2, 0.079
5, 1.0000, 2, 0.137
5, 1.0000, 2, 0.073
5, 1.0000, 2, 0.140
10, 1.0000, 3, 0.080
10, 0.9091, 2, 0.108
10, 0.9167, 2, 0.060
10, 0.9231, 2, 0.085
10, 0.9231, 2, 0.066
15, 0.8696, 2, 0.077
15, 0.9130, 5, 0.084
15, 1.0000, 2, 0.080
15, 0.8571, 3, 0.112
15, 0.9048, 2, 0.090
20, 0.9231, 2, 0.096
20, 0.9167, 5, 0.088
20, 0.7714, 5, 0.105
20, 0.9459, 2, 0.106
20, 0.8529, 2, 0.101
50, 0.9091, 2, 0.094
50, 0.9128, 2, 0.093
50, 0.8471, 2, 0.102
50, 0.9068, 5, 0.092
50, 0.8613, 4, 0.093
